date,listingid,tokenid,breedcount,gender,bloodline,breedtype,energy,total_races,win,lose,speed,strength,wind,water,fire,lighting,canrace,canbreed,priceFloor,price,lastbreedtime,bornUsableBreed,bornUsableRace,minutesToSell
2022-02-16 00:56:16,181170,133712,2,Female,Hoz,Pacer,2,292,67,225,4.89,0.48,2.56,7.64,7.55,,1,0.0,967.3846153846154,0.7649491094147582,1644900862,-728924.0,-988124.0,60.93333333333333
2022-02-16 01:02:48,181128,119663,3,Female,Hoz,Pacer,6,252,57,195,7.57,3.7,1.09,0.7,6.7,,1,1.0,967.3846153846154,0.84764631043257,1644800194,-1030294.0,-1289494.0,80.06666666666666
2022-02-16 01:06:29,181129,97164,3,Male,Hoz,Pacer,9,491,110,381,1.71,6.21,0.2,1.31,2.14,,1,1.0,967.3846153846154,0.7649491094147582,1643629192,-1542933.0,-1802133.0,82.9
2022-02-16 01:19:08,181468,187204,0,Female,Hoz,Pacer,25,0,0,0,8.11,2.31,7.1,7.27,8.47,,0,0.0,931.3076923076924,1.233749070785496,0,334379.0,75179.0,1.0333333333333334
2022-02-16 01:17:44,181466,146713,3,Female,Hoz,Pacer,1,212,51,161,3.21,5.81,0.9,7.19,7.52,,1,0.0,931.3076923076924,0.805319236805154,1644973107,-441874.0,-701074.0,1.7333333333333334
2022-02-16 01:19:07,181449,174279,0,Female,Hoz,Pacer,12,36,10,26,3.37,4.63,5.15,3.5,3.03,,1,0.0,931.3076923076924,1.234822829767903,0,143959.0,-115241.0,5.333333333333333
2022-02-16 01:20:34,181443,174427,0,Female,Hoz,Pacer,1,47,12,35,8.1,2.7,4.58,7.21,4.4,,1,0.0,931.3076923076924,1.234822829767903,0,146276.0,-112924.0,7.8
2022-02-16 01:15:21,181437,180499,0,Male,Hoz,Pacer,25,0,0,0,0.89,0.24,6.53,5.94,7.05,,1,0.0,931.3076923076924,1.234822829767903,0,228815.0,-30385.0,2.566666666666667
2022-02-16 01:19:11,181435,135456,3,Male,Hoz,Pacer,1,283,69,214,2.36,1.87,3.09,1.83,4.1,,1,1.0,931.3076923076924,0.8375320062773602,1644481309,-693952.0,-953152.0,7.3
2022-02-16 01:16:24,181433,187190,0,Female,Hoz,Pacer,25,0,0,0,6.62,8.35,1.59,8.49,7.6,,0,0.0,931.3076923076924,1.2294540348558685,0,334277.0,75077.0,4.1
2022-02-16 01:15:22,181429,187156,0,Female,Hoz,Pacer,25,0,0,0,4.7,0.58,8.9,3.95,1.31,,0,0.0,931.3076923076924,1.250929214504006,0,333693.0,74493.0,4.833333333333333
2022-02-16 01:14:15,181419,153791,3,Female,Hoz,Pacer,3,167,37,130,5.5,3.97,6.3,3.11,4.44,,1,0.0,931.3076923076924,0.7945816469810854,1644940866,-277166.0,-536366.0,5.666666666666667
2022-02-16 01:19:09,181410,180721,0,Female,Hoz,Pacer,1,27,5,22,0.74,5.91,8.14,3.69,0.13,,1,0.0,931.3076923076924,1.2026100602956968,0,232432.0,-26768.0,11.3
2022-02-16 01:13:12,181403,107333,3,Male,Hoz,Pacer,9,435,106,329,0.94,3.21,3.19,6.2,8.0,,1,1.0,931.3076923076924,0.805319236805154,1644764724,-1264905.0,-1524105.0,6.966666666666667
2022-02-16 01:13:09,181396,134131,3,Female,Hoz,Pacer,0,293,68,225,0.9,2.5,2.06,1.94,6.99,,1,1.0,931.3076923076924,0.773106467332948,1644495654,-722006.0,-981206.0,7.566666666666666
2022-02-16 01:19:05,181395,187163,0,Female,Hoz,Pacer,25,0,0,0,1.97,1.37,0.72,7.73,4.25,,0,0.0,931.3076923076924,1.1972412653836624,0,333772.0,74572.0,13.533333333333331
2022-02-16 01:08:38,181386,107965,3,Female,Campona,Pacer,10,405,101,304,4.44,1.23,3.97,1.84,4.34,,1,1.0,931.3076923076924,0.8375320062773602,1644462897,-1250513.0,-1423313.0,8.3
2022-02-16 01:08:42,181379,187082,0,Female,Hoz,Pacer,25,0,0,0,7.76,1.8,4.7,4.77,7.17,,0,0.0,931.3076923076924,1.3089121995539772,0,332281.0,73081.0,10.633333333333333
2022-02-16 01:19:10,181252,107981,2,Female,Campona,Pacer,15,396,89,307,7.89,0.3,8.11,4.95,3.84,,1,1.0,931.3076923076924,0.890146196415297,1643909954,-1250847.0,-1423647.0,61.43333333333333
